Niche,Expert,Social_Media_Link,Biographie
"Antiques","Eric Knowles","https://www.instagram.com/ericknowles_antiques/","Expert de renommée mondiale et présentateur de la BBC, spécialiste des céramiques et du mobilier de collection."
"Antique clocks","Dr. James Nye (AHS)","https://www.linkedin.com/in/james-nye-0b427814/","Président de l'Antiquarian Horological Society, historien spécialisé dans la mesure du temps et les mécanismes anciens."
"Antique furniture","David Harper","https://twitter.com/DavidHarperTV","Antiquaire, historien de l'art et présentateur TV, reconnu pour son expertise en mobilier classique et objets d'art."
"Antique solid silver","Alastair Dickenson","https://www.alastairdickenson.com/about-us","Expert en orfèvrerie ancienne avec plus de 45 ans d'expérience, ancien directeur du département argenterie chez Phillips."
"Architectural antiques","Drew Pritchard","https://www.instagram.com/drewpritchard/","Négociant d'art reconnu et vedette de 'Salvage Hunters', spécialisé dans la récupération de pièces architecturales historiques."
"Art","Bendor Grosvenor","https://twitter.com/arthistorynews","Historien de l'art et marchand, célèbre pour avoir découvert plusieurs œuvres perdues de grands maîtres (Old Masters)."
"Carpets & rugs","Jan David Winitz","https://www.linkedin.com/in/jan-david-winitz-9b7b7a14/","Fondateur de Claremont Rug Company, expert mondialement reconnu dans les tapis persans et orientaux d'époque."
"Pottery, Porcelain & Glass","Lars Tharp","https://twitter.com/larstharp","Historien de la céramique, membre de la Society of Antiquaries et expert consultant pour de grands musées internationaux."
Autographs,Garry King,https://twitter.com/autograph_king,"Expert en autographes certifié par l'AFTAL et l'UACC, spécialisé dans la détection de contrefaçons et l'authentification de signatures de célébrités."
Badges & patches,The British Badge Forum,https://www.facebook.com/BritishBadgeForum/,"Organisation de référence pour l'identification et l'histoire des insignes militaires et civils, dirigée par des historiens spécialisés."
Breweriana,Jeff Alworth,https://twitter.com/Beervana,"Auteur et historien de la culture brassicole, expert en objets publicitaires, bouteilles et histoire des brasseries."
"Coins, banknotes and bullion",CoinWorld (Jeff Starck),https://twitter.com/MrCoinWorld,"Éditeur et numismate expert, spécialisé dans l'histoire des monnaies mondiales, les billets de banque et les métaux précieux."
Collectables,Tracy Martin,https://twitter.com/TracyMartinTV,"Experte en objets de collection vintage et mode rétro, auteure et consultante régulière pour des émissions d'expertise télévisées."
Comics,Douglas Wolk,https://twitter.com/douglaswolk,"Critique de comics lauréat du prix Eisner et auteur, expert en histoire des bandes dessinées et culture graphique."
Decorative,Mark Hill,https://www.instagram.com/markhillantiques/,"Auteur et expert en arts décoratifs du XXe siècle, spécialiste du design moderne et du verre de collection."
Film memorabilia,Prop Store (Stephen Lane),https://www.instagram.com/prop_store/,Fondateur de Prop Store et expert mondial dans l'archivage et la vente d'accessoires et de costumes de cinéma originaux.
Militaria,Mark Urban,https://twitter.com/markurban01,"Historien militaire et auteur renommé, expert dans l'analyse d'objets historiques liés aux conflits et à l'armement."
Postcards,Postcard Traders Association,https://twitter.com/postcardtraders,Association officielle regroupant les plus grands experts mondiaux en cartophilie et histoire postale.
Sci Fi,Adam Whitehead,https://twitter.com/AtlasOfIceAndFire,"Historien de la science-fiction et de la fantasy, expert en chronologie des œuvres cultes et memorabilia de genre."
Stamps,Graham Beck (Exploring Stamps),https://www.youtube.com/c/ExploringStamps,Philatéliste influent et créateur de contenus éducatifs sur l'histoire postale et la rareté des timbres mondiaux.
Transportation,Christian Wolmar,https://twitter.com/christianwolmar,"Écrivain et historien ferroviaire de premier plan, spécialisé dans l'histoire des transports et des infrastructures."
Baby,Rachel Waddilove,https://www.instagram.com/rachelwaddiloveofficial/,Experte renommée en puériculture et auteure de guides de référence sur le sommeil et les soins des nourrissons.
